BirthDate,Age,MaritalStatus,Gender,YearlyIncome,TotalChildren,NumberChildrenAtHome,Education,Occupation,HouseOwnerFlag,NumberCarsOwned,YearFirstPurchase,CommuteDistance,StateProvinceCode,StateProvinceName,CountryRegionCode,RegionName,SalesTerritoryKey,CustomerKey,ProductCategoryKey,ProductCategory,ProductSubcategoryKey,ProductSubcategoryName,ProductKey,ModelName
6/16/1984,34,S,F,40000,0,0,Partial College,Skilled Manual,0,1,2011,1-2 Miles,WA,Washington,US,United States,1,14520,1,Bikes,2,Road Bikes,332,Road-650
4/22/1982,37,M,F,10000,1,1,High School,Manual,1,0,2011,2-5 Miles,VIC,Victoria,AU,Australia,9,16520,1,Bikes,2,Road Bikes,311,Road-150
8/31/1962,56,M,F,130000,2,4,Partial College,Professional,1,2,2011,5-10 Miles,HE,Hessen,DE,Germany,8,13258,1,Bikes,2,Road Bikes,311,Road-150
3/31/1976,43,M,M,50000,1,1,Bachelors,Skilled Manual,1,1,2011,2-5 Miles,CA,California,US,United States,4,14560,1,Bikes,2,Road Bikes,332,Road-650
2/23/1981,38,M,M,70000,0,0,Bachelors,Professional,1,3,2011,10+ Miles,QLD,Queensland,AU,Australia,9,16607,1,Bikes,2,Road Bikes,311,Road-150
1/23/1960,59,M,F,60000,3,0,Partial High School,Skilled Manual,1,2,2011,5-10 Miles,CA,California,US,United States,4,27666,1,Bikes,2,Road Bikes,313,Road-150
2/7/1964,55,S,F,130000,2,3,Bachelors,Management,0,4,2011,0-1 Miles,ENG,England,GB,United Kingdom,10,11238,1,Bikes,1,Mountain Bikes,346,Mountain-100
8/26/1950,68,M,M,30000,5,0,Partial High School,Skilled Manual,1,4,2011,10+ Miles,CA,California,US,United States,4,25861,1,Bikes,1,Mountain Bikes,346,Mountain-100
3/13/1978,41,S,F,110000,0,5,High School,Management,1,4,2011,10+ Miles,NSW,New South Wales,AU,Australia,9,16629,1,Bikes,2,Road Bikes,314,Road-150
6/22/1951,67,M,M,10000,2,1,Partial High School,Clerical,1,2,2011,1-2 Miles,QLD,Queensland,AU,Australia,9,11025,1,Bikes,1,Mountain Bikes,350,Mountain-100
12/2/1963,55,S,M,60000,1,0,Bachelors,Professional,0,1,2011,0-1 Miles,WA,Washington,US,United States,1,27577,1,Bikes,2,Road Bikes,312,Road-150
8/31/1962,56,M,M,60000,2,0,High School,Professional,1,2,2011,5-10 Miles,WA,Washington,US,United States,1,27604,1,Bikes,2,Road Bikes,312,Road-150
1/1/1985,34,M,F,10000,1,1,High School,Manual,1,0,2011,2-5 Miles,QLD,Queensland,AU,Australia,9,16522,1,Bikes,2,Road Bikes,310,Road-150
2/9/1971,48,M,M,60000,3,3,Bachelors,Professional,1,1,2011,2-5 Miles,TAS,Tasmania,AU,Australia,9,11002,1,Bikes,1,Mountain Bikes,346,Mountain-100
10/3/1962,56,M,F,130000,3,4,Partial College,Professional,0,2,2011,5-10 Miles,NW,Nordrhein-Westfalen,DE,Germany,8,13261,1,Bikes,2,Road Bikes,311,Road-150
1/30/1986,33,S,F,10000,0,0,Partial High School,Manual,0,2,2011,0-1 Miles,91,Essonne,FR,France,7,11606,1,Bikes,2,Road Bikes,312,Road-150
1/29/1975,44,M,M,50000,0,0,Graduate Degree,Skilled Manual,0,0,2011,0-1 Miles,ENG,England,GB,United Kingdom,10,13563,1,Bikes,2,Road Bikes,310,Road-150
12/18/1983,35,S,M,20000,0,0,Bachelors,Clerical,1,0,2011,0-1 Miles,NSW,New South Wales,AU,Australia,9,16527,1,Bikes,2,Road Bikes,312,Road-150
9/1/1958,60,S,M,70000,3,0,Graduate Degree,Management,0,2,2011,1-2 Miles,WA,Washington,US,United States,1,27671,1,Bikes,2,Road Bikes,310,Road-150
6/17/1961,57,S,F,160000,3,4,Bachelors,Management,0,3,2011,0-1 Miles,ENG,England,GB,United Kingdom,10,13576,1,Bikes,2,Road Bikes,314,Road-150
11/6/1969,49,M,M,60000,3,3,Bachelors,Professional,1,2,2011,0-1 Miles,VIC,Victoria,AU,Australia,9,11007,1,Bikes,1,Mountain Bikes,347,Mountain-100
9/16/1976,42,S,F,90000,0,0,Bachelors,Professional,1,4,2011,10+ Miles,QLD,Queensland,AU,Australia,9,16631,1,Bikes,2,Road Bikes,313,Road-150
7/10/1985,33,S,M,10000,0,0,Partial College,Manual,1,1,2011,1-2 Miles,NSW,New South Wales,AU,Australia,9,16514,1,Bikes,2,Road Bikes,311,Road-150
6/2/1985,33,S,M,90000,0,0,Bachelors,Professional,0,2,2011,10+ Miles,SA,South Australia,AU,Australia,9,16616,1,Bikes,2,Road Bikes,312,Road-150
6/2/1962,56,S,M,80000,3,0,Partial College,Professional,0,1,2011,0-1 Miles,CA,California,US,United States,4,27623,1,Bikes,2,Road Bikes,314,Road-150
9/29/1961,57,S,F,90000,2,1,Partial College,Professional,0,0,2011,10+ Miles,OR,Oregon,US,United States,1,27625,1,Bikes,2,Road Bikes,313,Road-150
4/3/1968,51,M,F,100000,1,2,Partial College,Professional,1,3,2011,5-10 Miles,WA,Washington,US,United States,1,27636,1,Bikes,2,Road Bikes,314,Road-150
11/12/1968,50,S,F,30000,3,3,Partial College,Clerical,1,0,2011,0-1 Miles,78,Yveline,FR,France,7,11591,1,Bikes,2,Road Bikes,311,Road-150
3/3/1984,35,S,M,20000,0,0,High School,Manual,0,1,2011,2-5 Miles,75,Seine (Paris),FR,France,7,11592,1,Bikes,2,Road Bikes,313,Road-150
7/21/1961,57,S,M,120000,3,4,High School,Professional,1,4,2011,5-10 Miles,NW,Nordrhein-Westfalen,DE,Germany,8,13265,1,Bikes,2,Road Bikes,311,Road-150
11/12/1955,63,M,F,30000,3,0,Partial College,Clerical,0,2,2011,5-10 Miles,VIC,Victoria,AU,Australia,9,16482,1,Bikes,2,Road Bikes,310,Road-150
7/18/1980,38,S,F,90000,0,0,Partial College,Professional,0,1,2011,5-10 Miles,WA,Washington,US,United States,1,27617,1,Bikes,2,Road Bikes,312,Road-150
1/1/1970,49,S,F,70000,3,0,Graduate Degree,Management,0,2,2011,1-2 Miles,CA,California,US,United States,4,27670,1,Bikes,2,Road Bikes,311,Road-150
9/8/1954,64,S,M,160000,3,5,High School,Management,0,4,2011,0-1 Miles,ENG,England,GB,United Kingdom,10,19941,1,Bikes,2,Road Bikes,332,Road-650
12/24/1949,69,S,F,20000,4,0,High School,Skilled Manual,1,2,2011,5-10 Miles,VIC,Victoria,AU,Australia,9,11017,1,Bikes,1,Mountain Bikes,350,Mountain-100
5/13/1967,52,S,M,130000,1,3,Bachelors,Management,0,2,2011,2-5 Miles,CA,California,US,United States,4,27646,1,Bikes,2,Road Bikes,310,Road-150
1/3/1963,56,M,M,130000,2,4,Partial College,Professional,1,2,2011,0-1 Miles,BY,Bayern,DE,Germany,8,13257,1,Bikes,2,Road Bikes,310,Road-150
8/2/1965,53,S,F,80000,2,0,Partial College,Skilled Manual,1,2,2011,5-10 Miles,NSW,New South Wales,AU,Australia,9,16352,1,Bikes,2,Road Bikes,314,Road-150
5/5/1959,60,M,F,40000,3,0,Partial College,Skilled Manual,1,2,2011,5-10 Miles,VIC,Victoria,AU,Australia,9,16493,1,Bikes,2,Road Bikes,310,Road-150
5/7/1964,55,M,F,60000,1,0,Bachelors,Professional,1,1,2011,2-5 Miles,CA,California,US,United States,4,27578,1,Bikes,2,Road Bikes,314,Road-150
11/22/1983,35,M,F,20000,0,0,Bachelors,Clerical,0,0,2011,0-1 Miles,NSW,New South Wales,AU,Australia,9,16525,1,Bikes,2,Road Bikes,313,Road-150
2/18/1981,38,S,F,90000,0,0,Bachelors,Professional,0,2,2011,10+ Miles,NSW,New South Wales,AU,Australia,9,16612,1,Bikes,2,Road Bikes,310,Road-150
8/5/1969,49,S,F,70000,0,0,Bachelors,Professional,0,1,2011,5-10 Miles,QLD,Queensland,AU,Australia,9,11010,1,Bikes,1,Mountain Bikes,346,Mountain-100
12/17/1981,37,S,F,10000,1,1,High School,Manual,0,0,2011,1-2 Miles,VIC,Victoria,AU,Australia,9,16518,1,Bikes,2,Road Bikes,313,Road-150
5/10/1976,43,S,M,60000,3,3,Bachelors,Professional,0,1,2011,0-1 Miles,VIC,Victoria,AU,Australia,9,11001,1,Bikes,1,Mountain Bikes,350,Mountain-100
12/5/1960,58,M,M,60000,2,0,High School,Professional,0,2,2011,1-2 Miles,WA,Washington,US,United States,1,27649,1,Bikes,2,Road Bikes,312,Road-150
12/22/1968,50,M,F,60000,3,2,Graduate Degree,Professional,1,0,2011,2-5 Miles,BC,British Columbia,CA,Canada,6,21659,1,Bikes,2,Road Bikes,312,Road-150
1/5/1962,57,M,M,60000,2,0,High School,Professional,0,2,2011,1-2 Miles,WA,Washington,US,United States,1,27614,1,Bikes,2,Road Bikes,312,Road-150
3/20/1976,43,M,F,50000,1,1,Bachelors,Skilled Manual,1,0,2011,2-5 Miles,CA,California,US,United States,4,14559,1,Bikes,2,Road Bikes,330,Road-650
1/20/1985,34,M,M,20000,0,0,Bachelors,Clerical,1,0,2011,0-1 Miles,QLD,Queensland,AU,Australia,9,16524,1,Bikes,2,Road Bikes,312,Road-150
4/23/1984,35,S,M,20000,0,0,Bachelors,Clerical,1,0,2011,0-1 Miles,VIC,Victoria,AU,Australia,9,16526,1,Bikes,2,Road Bikes,314,Road-150
1/1/1960,59,M,M,80000,2,0,Partial College,Skilled Manual,1,2,2011,5-10 Miles,NSW,New South Wales,AU,Australia,9,16348,1,Bikes,2,Road Bikes,313,Road-150
6/5/1952,66,M,M,30000,2,0,Partial College,Clerical,1,2,2011,5-10 Miles,VIC,Victoria,AU,Australia,9,11027,1,Bikes,1,Mountain Bikes,347,Mountain-100
4/8/1963,56,M,M,130000,3,4,Partial College,Professional,1,2,2011,0-1 Miles,SL,Saarland,DE,Germany,8,13260,1,Bikes,2,Road Bikes,314,Road-150
8/3/1985,33,M,M,10000,0,0,Partial College,Manual,0,1,2011,0-1 Miles,TAS,Tasmania,AU,Australia,9,16515,1,Bikes,2,Road Bikes,311,Road-150
10/6/1955,63,S,M,30000,2,0,Partial College,Clerical,1,2,2011,5-10 Miles,VIC,Victoria,AU,Australia,9,11018,1,Bikes,1,Mountain Bikes,345,Mountain-100
10/2/1961,57,S,M,80000,1,0,Partial College,Skilled Manual,0,1,2011,0-1 Miles,NSW,New South Wales,AU,Australia,9,25252,1,Bikes,2,Road Bikes,326,Road-650
3/16/1983,36,S,F,20000,0,0,High School,Manual,0,1,2011,1-2 Miles,91,Essonne,FR,France,7,11599,1,Bikes,2,Road Bikes,311,Road-150
2/5/1960,59,S,F,80000,2,0,Partial College,Skilled Manual,0,2,2011,1-2 Miles,VIC,Victoria,AU,Australia,9,16495,1,Bikes,2,Road Bikes,312,Road-150
1/24/1986,33,M,M,20000,0,0,Bachelors,Clerical,1,0,2011,0-1 Miles,QLD,Queensland,AU,Australia,9,16516,1,Bikes,2,Road Bikes,312,Road-150
5/12/1984,34,M,M,90000,0,0,Bachelors,Professional,1,3,2011,10+ Miles,NSW,New South Wales,AU,Australia,9,16620,1,Bikes,2,Road Bikes,312,Road-150
6/20/1960,58,M,F,70000,3,1,High School,Professional,0,1,2011,1-2 Miles,CA,California,US,United States,4,27667,1,Bikes,2,Road Bikes,310,Road-150
2/18/1983,36,S,M,30000,0,0,Partial College,Clerical,1,1,2011,2-5 Miles,78,Yveline,FR,France,7,11601,1,Bikes,2,Road Bikes,311,Road-150
5/5/1986,33,S,M,20000,0,0,High School,Manual,1,1,2011,2-5 Miles,75,Seine (Paris),FR,France,7,11607,1,Bikes,2,Road Bikes,311,Road-150
9/1/1968,50,S,M,20000,4,4,High School,Manual,0,1,2011,0-1 Miles,HE,Hessen,DE,Germany,8,29385,1,Bikes,1,Mountain Bikes,344,Mountain-100
10/2/1969,49,M,F,130000,2,4,Partial College,Professional,0,2,2011,5-10 Miles,ENG,England,GB,United Kingdom,10,11239,1,Bikes,1,Mountain Bikes,351,Mountain-100
11/6/1951,67,M,M,40000,5,0,High School,Professional,1,3,2011,10+ Miles,WA,Washington,US,United States,1,25865,1,Bikes,1,Mountain Bikes,351,Mountain-100
3/5/1950,69,S,F,30000,5,0,Partial High School,Clerical,0,2,2011,10+ Miles,OR,Oregon,US,United States,1,25857,1,Bikes,1,Mountain Bikes,344,Mountain-100
8/7/1955,63,M,M,40000,2,0,Partial College,Clerical,0,2,2011,5-10 Miles,NSW,New South Wales,AU,Australia,9,16484,1,Bikes,2,Road Bikes,314,Road-150
3/4/1979,40,S,M,150000,5,5,Bachelors,Professional,1,4,2011,0-1 Miles,NSW,New South Wales,AU,Australia,9,16623,1,Bikes,2,Road Bikes,312,Road-150
10/6/1971,47,M,M,90000,2,0,Bachelors,Professional,1,0,2011,1-2 Miles,QLD,Queensland,AU,Australia,9,11000,1,Bikes,1,Mountain Bikes,344,Mountain-100
6/19/1952,66,M,M,30000,2,0,Partial College,Clerical,1,2,2011,1-2 Miles,VIC,Victoria,AU,Australia,9,11029,1,Bikes,1,Mountain Bikes,347,Mountain-100
9/30/1970,48,M,F,120000,3,2,Bachelors,Management,1,4,2011,2-5 Miles,CA,California,US,United States,4,27615,1,Bikes,2,Road Bikes,312,Road-150
9/23/1981,37,S,M,30000,0,0,Bachelors,Clerical,1,0,2011,0-1 Miles,57,Moselle,FR,France,7,17956,1,Bikes,2,Road Bikes,342,Road-650
4/23/1959,60,M,M,40000,3,0,Partial College,Skilled Manual,1,2,2011,5-10 Miles,NSW,New South Wales,AU,Australia,9,16345,1,Bikes,2,Road Bikes,312,Road-150
2/7/1985,34,S,F,10000,1,1,High School,Manual,0,0,2011,2-5 Miles,QLD,Queensland,AU,Australia,9,16521,1,Bikes,2,Road Bikes,310,Road-150
2/23/1976,43,M,M,110000,0,5,High School,Management,1,4,2011,10+ Miles,VIC,Victoria,AU,Australia,9,16636,1,Bikes,2,Road Bikes,312,Road-150
5/1/1975,44,M,F,40000,2,0,Partial College,Clerical,1,1,2011,1-2 Miles,BC,British Columbia,CA,Canada,6,21710,1,Bikes,2,Road Bikes,311,Road-150
5/11/1960,59,S,M,90000,3,1,High School,Professional,1,2,2011,10+ Miles,ENG,England,GB,United Kingdom,10,13583,1,Bikes,2,Road Bikes,311,Road-150
9/22/1982,36,S,M,20000,0,0,High School,Manual,1,1,2011,2-5 Miles,45,Loiret,FR,France,7,11593,1,Bikes,2,Road Bikes,312,Road-150
12/8/1972,46,M,F,70000,3,0,Partial College,Professional,1,2,2011,5-10 Miles,BC,British Columbia,CA,Canada,6,21741,1,Bikes,2,Road Bikes,314,Road-150
5/13/1964,55,M,F,80000,4,2,Partial College,Professional,0,1,2011,2-5 Miles,ENG,England,GB,United Kingdom,10,13585,1,Bikes,2,Road Bikes,310,Road-150
8/17/1973,45,S,M,100000,2,0,Bachelors,Management,1,2,2011,1-2 Miles,WA,Washington,US,United States,1,14510,1,Bikes,2,Road Bikes,328,Road-650
7/10/1984,34,M,F,20000,0,0,Bachelors,Clerical,1,0,2011,0-1 Miles,QLD,Queensland,AU,Australia,9,16523,1,Bikes,2,Road Bikes,312,Road-150
2/23/1985,34,M,M,20000,0,0,Partial High School,Manual,0,1,2011,2-5 Miles,45,Loiret,FR,France,7,11611,1,Bikes,2,Road Bikes,312,Road-150
5/7/1963,56,M,M,130000,2,4,Partial College,Professional,0,2,2011,5-10 Miles,SL,Saarland,DE,Germany,8,13259,1,Bikes,2,Road Bikes,313,Road-150
2/10/1965,54,S,M,80000,2,0,Partial College,Skilled Manual,1,2,2011,5-10 Miles,NSW,New South Wales,AU,Australia,9,16350,1,Bikes,2,Road Bikes,310,Road-150
8/5/1979,39,S,F,80000,5,5,Bachelors,Professional,1,4,2011,1-2 Miles,NSW,New South Wales,AU,Australia,9,11004,1,Bikes,1,Mountain Bikes,345,Mountain-100
10/1/1951,67,S,M,30000,2,0,Partial College,Clerical,0,2,2011,1-2 Miles,NSW,New South Wales,AU,Australia,9,11026,1,Bikes,1,Mountain Bikes,346,Mountain-100
12/13/1965,53,S,F,110000,5,3,Partial College,Professional,1,4,2011,5-10 Miles,CA,California,US,United States,4,27662,1,Bikes,2,Road Bikes,312,Road-150
9/30/1969,49,S,M,20000,3,3,High School,Manual,0,1,2011,0-1 Miles,92,Hauts de Seine,FR,France,7,28390,1,Bikes,1,Mountain Bikes,350,Mountain-100
5/9/1952,67,M,M,40000,5,0,High School,Professional,1,4,2011,10+ Miles,OR,Oregon,US,United States,1,25866,1,Bikes,1,Mountain Bikes,350,Mountain-100
11/21/1965,53,S,F,80000,2,0,Partial College,Skilled Manual,0,2,2011,1-2 Miles,VIC,Victoria,AU,Australia,9,16494,1,Bikes,2,Road Bikes,311,Road-150
5/14/1965,54,S,F,80000,2,0,Partial College,Skilled Manual,1,2,2011,5-10 Miles,NSW,New South Wales,AU,Australia,9,16496,1,Bikes,2,Road Bikes,314,Road-150
2/11/1982,37,S,F,10000,1,1,High School,Manual,0,0,2011,2-5 Miles,QLD,Queensland,AU,Australia,9,16519,1,Bikes,2,Road Bikes,310,Road-150
2/22/1984,35,S,F,20000,0,0,Bachelors,Clerical,1,0,2011,0-1 Miles,VIC,Victoria,AU,Australia,9,16528,1,Bikes,2,Road Bikes,312,Road-150
12/2/1976,42,S,F,70000,0,0,Bachelors,Professional,1,1,2011,5-10 Miles,NSW,New South Wales,AU,Australia,9,11006,1,Bikes,1,Mountain Bikes,346,Mountain-100
5/5/1961,58,M,M,90000,2,1,High School,Professional,1,1,2011,10+ Miles,CA,California,US,United States,4,27651,1,Bikes,2,Road Bikes,312,Road-150
9/21/1971,47,S,M,170000,1,1,Graduate Degree,Management,0,2,2011,0-1 Miles,CA,California,US,United States,4,27663,1,Bikes,2,Road Bikes,310,Road-150
5/20/1970,48,M,F,70000,3,0,Graduate Degree,Management,1,2,2011,5-10 Miles,CA,California,US,United States,4,27669,1,Bikes,2,Road Bikes,313,Road-150
8/4/1960,58,S,M,170000,5,5,Partial College,Management,0,4,2011,0-1 Miles,ENG,England,GB,United Kingdom,10,19942,1,Bikes,2,Road Bikes,342,Road-650
11/8/1981,37,M,F,50000,1,1,Bachelors,Skilled Manual,1,0,2011,2-5 Miles,WA,Washington,US,United States,1,14558,1,Bikes,2,Road Bikes,338,Road-650
10/13/1959,59,S,M,80000,2,0,Partial College,Skilled Manual,0,2,2011,1-2 Miles,VIC,Victoria,AU,Australia,9,16349,1,Bikes,2,Road Bikes,313,Road-150
7/4/1975,43,S,F,60000,4,4,Bachelors,Professional,1,3,2011,10+ Miles,VIC,Victoria,AU,Australia,9,11008,1,Bikes,1,Mountain Bikes,348,Mountain-100
10/9/1962,56,S,M,70000,1,0,Partial College,Skilled Manual,0,1,2011,0-1 Miles,QLD,Queensland,AU,Australia,9,25250,1,Bikes,2,Road Bikes,338,Road-650
7/18/1973,45,M,M,60000,2,0,High School,Professional,1,2,2011,5-10 Miles,WA,Washington,US,United States,1,27605,1,Bikes,2,Road Bikes,310,Road-150
6/2/1962,56,M,M,60000,2,0,High School,Professional,1,2,2011,5-10 Miles,CA,California,US,United States,4,27611,1,Bikes,2,Road Bikes,310,Road-150
12/1/1958,60,M,M,70000,2,0,Graduate Degree,Management,1,2,2011,1-2 Miles,NSW,New South Wales,AU,Australia,9,16347,1,Bikes,2,Road Bikes,311,Road-150
10/9/1951,67,M,F,30000,2,0,Partial College,Clerical,1,2,2011,1-2 Miles,NSW,New South Wales,AU,Australia,9,11028,1,Bikes,1,Mountain Bikes,349,Mountain-100
8/13/1964,54,S,M,70000,4,3,High School,Professional,1,1,2011,10+ Miles,ENG,England,GB,United Kingdom,10,13584,1,Bikes,2,Road Bikes,310,Road-150
12/22/1978,40,M,F,40000,0,0,Graduate Degree,Skilled Manual,1,0,2011,1-2 Miles,BC,British Columbia,CA,Canada,6,21727,1,Bikes,2,Road Bikes,310,Road-150
1/4/1972,47,S,M,40000,0,0,Bachelors,Professional,1,0,2011,0-1 Miles,92,Hauts de Seine,FR,France,7,28393,1,Bikes,1,Mountain Bikes,348,Mountain-100
1/10/1980,39,S,F,30000,0,0,High School,Professional,0,2,2011,1-2 Miles,BC,British Columbia,CA,Canada,6,19802,1,Bikes,1,Mountain Bikes,348,Mountain-100
5/17/1978,40,S,F,50000,0,0,Partial College,Skilled Manual,0,1,2011,0-1 Miles,BC,British Columbia,CA,Canada,6,26620,1,Bikes,2,Road Bikes,324,Road-650
9/29/1969,49,S,M,70000,0,0,Bachelors,Professional,0,1,2011,5-10 Miles,QLD,Queensland,AU,Australia,9,11009,1,Bikes,1,Mountain Bikes,350,Mountain-100
11/7/1967,51,S,F,120000,1,3,Partial College,Professional,1,4,2011,5-10 Miles,CA,California,US,United States,4,27641,1,Bikes,2,Road Bikes,313,Road-150
11/20/1958,60,S,F,60000,3,0,Graduate Degree,Management,1,2,2011,5-10 Miles,WA,Washington,US,United States,1,27673,1,Bikes,2,Road Bikes,311,Road-150
3/21/1976,43,S,F,30000,0,0,Bachelors,Clerical,1,0,2011,0-1 Miles,92,Hauts de Seine,FR,France,7,17957,1,Bikes,2,Road Bikes,326,Road-650
7/5/1962,56,M,M,130000,2,4,Partial College,Professional,1,2,2011,5-10 Miles,SL,Saarland,DE,Germany,8,13406,1,Bikes,2,Road Bikes,314,Road-150
1/8/1978,41,M,M,110000,0,5,High School,Management,1,4,2011,10+ Miles,VIC,Victoria,AU,Australia,9,16630,1,Bikes,2,Road Bikes,312,Road-150
10/31/1978,40,S,F,60000,0,0,Partial College,Skilled Manual,0,1,2011,5-10 Miles,BC,British Columbia,CA,Canada,6,22041,1,Bikes,2,Road Bikes,313,Road-150
8/8/1962,56,S,F,110000,2,4,Partial College,Professional,1,3,2011,5-10 Miles,75,Seine (Paris),FR,France,7,12124,1,Bikes,2,Road Bikes,314,Road-150
4/12/1980,39,M,M,80000,2,0,Graduate Degree,Professional,1,0,2011,0-1 Miles,CA,California,US,United States,4,28066,1,Bikes,2,Road Bikes,313,Road-150
11/17/1947,71,M,F,40000,2,0,Bachelors,Management,1,2,2011,0-1 Miles,NSW,New South Wales,AU,Australia,9,16743,1,Bikes,2,Road Bikes,313,Road-150
1/19/1976,43,M,M,30000,0,0,Bachelors,Clerical,1,0,2011,0-1 Miles,SL,Saarland,DE,Germany,8,13546,1,Bikes,2,Road Bikes,310,Road-150
3/17/1956,63,S,F,30000,2,1,Partial High School,Skilled Manual,1,3,2011,10+ Miles,CA,California,US,United States,4,28018,1,Bikes,2,Road Bikes,312,Road-150
5/18/1961,57,M,F,110000,3,4,Partial College,Professional,1,4,2011,5-10 Miles,93,Seine Saint Denis,FR,France,7,12132,1,Bikes,2,Road Bikes,310,Road-150
10/13/1961,57,S,M,70000,2,0,High School,Skilled Manual,1,2,2011,5-10 Miles,NSW,New South Wales,AU,Australia,9,16661,1,Bikes,2,Road Bikes,314,Road-150
